id,tyc,gaia,hyg,hip,hd,hr,gl,bayer,constellation,proper,ra,dec,dist_ly,x0,y0,z0,dist_src,mag,absmag,spect,ci,
514787,140-1840-1,,29787,29860,43587,2251,Gl 231.1A,,Ori,,6.28781499,5.10009523,62.791216600000006,-1.443,19.119,1.711,HIP,5.7,4.278,G 0.5VAB,0.61,
117295,6426-1229-1,5038817840251308288,7221,7235,9540,,Gl 59A,,Cet,,1.55439138,-24.17796269,62.8434086,16.14,6.956,-7.891,G_R3,6.97,5.546,K0 V,0.766,
1619241,1510-51-1,4467355154275146112,80481,80725,148653,,Gl 627A,,Her,,16.48130838,18.41392568,62.9634502,-7.091,-16.885,6.097,G_R3,6.98,5.552,K 2 V,0.848,
2188139,7455-1420-1,6796392812250051712,100599,100925,194640,,Gl 790,,Sgr,,20.46228985,-30.86784012,62.9742148,9.957,-13.246,-9.905,G_R3,6.61,5.182,G6/8 V,0.724,
901975,6571-3298-1,,42311,42430,73752,3430,Gl 314A,,Pyx,,8.65219689,-22.66183371,63.278233199999995,-11.455,13.757,-7.474,HIP,5.05,3.611,G3/G5V,0.72,
1374446,7270-2399-1,,66941,67153,119756,5168,Gl 525.1,,Cen,,13.76145711,-33.04372296,63.2906288,-14.565,-7.237,-10.58,HIP,4.23,2.791,F3 V,0.39,
142252,1763-3028-1,,8777,8796,11443,544,Gl 78.1,Alp,Tri,Mothallah,1.8846967,29.57882527,63.339885,14.873,7.998,9.585,HIP,3.42,1.979,F5III,0.488,
1382402,6720-1406-1,,67406,67620,120690,5209,Gl 530,,Hya,,13.85564627,-24.39047315,63.5248404,-15.684,-8.281,-8.042,HIP,6.43,4.983,G5 V,0.703,
411459,8879-151-1,4759543295545939840,25480,25544,36435,,Gl 204.1,,Dor,,5.46093164,-60.41599717,63.540824199999996,1.353,9.521,-16.94,G_R3,6.99,5.542,G6/8 V,0.755,
827335,6555-3245-1,,39644,39757,67523,3185,,Rho,Pup,Tureis,8.125737,-24.304324,63.5496316,-9.379,15.076,-8.019,HIP,2.83,1.382,F2mF5IIp,0.458,
854784,9398-2714-1,5210240327318434304,40587,40702,71243,3318,Gl 305,Alp,Cha,,8.30876446,-76.91972218,63.5656154,-2.506,3.629,-18.981,G_R3,4.05,2.601,F5 V,0.413,
2090512,1062-2701-1,4303294039306246656,97365,97675,187691,7560,Gl 768.1A,Omi,Aql,,19.85045649,10.41572455,63.5701822,8.926,-16.961,3.523,G_R3,5.12,3.671,F8V,0.563,
1655045,7367-804-1,,82144,82396,151680,6241,,Eps,Sco,Larawag,16.83605898,-34.29322839,63.7234962,-4.842,-15.396,-11.007,HIP,2.29,0.836,K2 IIIB,1.144,
1490009,2024-1355-1,1264630412816366720,73768,73996,134083,5634,Gl 578,,Boo,,15.12168512,24.86919657,63.726432,-12.128,-12.926,8.216,G_R3,4.93,3.476,F5VW,0.429,
512700,739-2617-1,3331979901042416512,29727,29800,43386,2241,GJ 9207,,Ori,,6.27406071,12.27216283,63.895729800000005,-1.372,19.091,4.164,G_R3,5.04,3.58,F5IV-V,0.431,
1714452,5071-891-1,4367026303085396352,84783,85042,157347,6465,,,Oph,,17.38091345,-2.38817575,63.9991352,-3.163,-19.346,-0.818,G_R3,6.28,4.817,G5 V,0.68,
447871,8099-1392-1,4792774797545800832,27253,27321,39060,2020,Gl 219,Bet,Pic,,5.78807971,-51.06651205,64.047738999999993,0.684,12.32,-15.273,G_R3,3.85,2.385,A5 V,0.171,
1243147,8982-4970-1,6053245135154609280,58895,59072,105211,4616,Gl 455.2,Eta,Cru,,12.1146944,-64.61373057,64.2229084,-8.437,-0.253,-17.787,G_R3,4.14,2.669,F0 IV,0.353,
2281221,9333-1274-1,,104102,104440,200525,8061,Gl 818.1A,,Pav,,21.156052,-73.172968,64.4793016,4.208,-3.877,-18.92,HIP,5.67,4.19,G3IV,0.59,
1436422,4565-800-1,,70634,70857,128642,,GJ 3859,,UMi,,14.48952901,80.80986036,64.8896612,-2.526,-1.927,19.637,HIP,6.88,5.387,G5,0.774,
830969,8924-2780-1,,39790,39903,68456,3220,Gl 297.1,,Car,,8.15018494,-61.30240874,65.17476,-5.12,8.114,-17.526,HIP,4.74,3.237,F5 V,0.437,
2469895,5235-1468-1,2648914040357320576,113061,113421,217107,8734,,,Psc,,22.97098365,-2.39538322,65.522163,19.345,-5.341,-0.84,G_R3,6.17,4.655,G8 IV/V,0.744,
160205,1758-2416-1,,9861,9884,12929,617,Gl 84.3,Alp,Ari,Hamal,2.119555,23.462423,65.819331200000008,15.732,9.752,8.034,HIP,2.01,0.486,K2III,1.151,
1081526,3007-67-1,806000816970521728,50363,50505,89269,,GJ 3593,,UMa,,10.31442977,44.04832043,65.8437962,-13.118,6.196,14.034,G_R3,6.66,5.135,G5,0.653,
2420309,6385-683-1,,110432,110778,212697,8544,Gl 859B,,Aqr,,22.44285753,-16.74192724,65.898924000000008,17.76,-7.67,-5.819,HIP,5.55,4.023,G3 V,0.618,
969003,4135-1915-1,1040054235130174080,45201,45333,79028,3648,Gl 337.1,,UMa,,9.23903853,61.42331982,66.013094,-7.26,6.403,17.772,G_R3,5.18,3.649,F 9 V,0.605,
1454348,9428-1001-1,5793182631952977920,71629,71855,128400,,GJ 3863,,Aps,,14.69790513,-75.13947832,66.0744196,-3.952,-3.372,-19.578,G_R3,6.73,5.197,G5 V,0.707,
2291904,3169-3876-1,,104549,104887,202444,8130,Gl 822.1A,Tau,Cyg,,21.24651725,38.04538156,66.3546254,12.034,-10.573,12.536,HIP,3.74,2.198,F0IV,0.393,
